    0.01,   -0.00,   90.00,   90.00,   90.00,    0.00,    0.00
    0.02,   -0.00,   90.00,   90.00,   90.00,    0.00,    0.00
    0.03,   -0.00,   90.00,   90.00,   90.00,    0.00,    0.00
    0.04,   -0.00,   90.00,   90.00,   90.00,    0.00,    0.00
    0.05,   -0.00,   90.00,   90.00,   90.00,    0.00,    0.00
    0.06,   -0.00,   90.00,   90.01,   90.01,    0.00,    0.00
    0.07,   -0.01,   90.00,   90.01,   90.01,    0.01,    0.01
    0.08,   -0.01,   90.01,   90.01,   90.02,    0.01,    0.01
    0.09,   -0.02,   90.01,   90.02,   90.02,    0.01,    0.02
    0.10,   -0.02,   90.01,   90.02,   90.03,    0.02,    0.02
    0.11,   -0.03,   90.01,   90.03,   90.04,    0.03,    0.03
    0.12,   -0.04,   90.02,   90.04,   90.06,    0.03,    0.04
    0.13,   -0.05,   90.02,   90.05,   90.07,    0.04,    0.05
    0.14,   -0.06,   90.03,   90.06,   90.09,    0.05,    0.06
    0.15,   -0.07,   90.04,   90.08,   90.11,    0.07,    0.07
    0.16,   -0.09,   90.04,   90.10,   90.13,    0.08,    0.09
    0.17,   -0.11,   90.05,   90.11,   90.16,    0.10,    0.11
    0.18,   -0.13,   90.06,   90.13,   90.18,    0.11,    0.12
    0.19,   -0.15,   90.07,   90.16,   90.22,    0.14,    0.15
    0.20,   -0.17,   90.08,   90.18,   90.25,    0.16,    0.17
    0.21,   -0.20,   90.10,   90.21,   90.29,    0.19,    0.19
    0.22,   -0.23,   90.11,   90.24,   90.33,    0.21,    0.22
    0.23,   -0.27,   90.12,   90.27,   90.38,    0.25,    0.25
    0.24,   -0.30,   90.14,   90.30,   90.43,    0.28,    0.29
    0.25,   -0.34,   90.16,   90.34,   90.48,    0.32,    0.32
    0.26,   -0.39,   90.18,   90.38,   90.54,    0.36,    0.36
    0.28,   -0.48,   90.22,   90.47,   90.67,    0.45,    0.44
