    0.84,   -0.04,   89.72,   88.68,   91.67,    3.09,   -1.85
    0.85,   -0.03,   89.71,   88.64,   91.74,    3.18,   -1.92
    0.87,   -0.02,   89.68,   88.54,   91.88,    3.37,   -2.06
    0.88,   -0.01,   89.66,   88.50,   91.95,    3.47,   -2.13
    0.89,   -0.00,   89.65,   88.45,   92.03,    3.56,   -2.20
    0.90,    0.01,   89.63,   88.40,   92.11,    3.66,   -2.28
    0.92,    0.02,   89.59,   88.30,   92.27,    3.86,   -2.43
    0.93,    0.03,   89.57,   88.25,   92.36,    3.96,   -2.51
    0.94,    0.04,   89.56,   88.20,   92.44,    4.06,   -2.59
    0.96,    0.06,   89.52,   88.09,   92.62,    4.27,   -2.75
    0.98,    0.08,   89.47,   87.99,   92.81,    4.48,   -2.91
    0.99,    0.09,   89.45,   87.93,   92.91,    4.58,   -3.00
    1.00,    0.11,   89.43,   87.87,   93.01,    4.69,   -3.08
    1.01,    0.12,   89.41,   87.81,   93.11,    4.79,   -3.17
    1.02,    0.13,   89.39,   87.76,   93.22,    4.90,   -3.25
    1.03,    0.14,   89.36,   87.70,   93.32,    5.00,   -3.34
    1.04,    0.16,   89.34,   87.64,   93.43,    5.11,   -3.43
    1.05,    0.17,   89.31,   87.58,   93.54,    5.22,   -3.52
    1.06,    0.18,   89.29,   87.51,   93.65,    5.32,   -3.61
    1.07,    0.20,   89.26,   87.45,   93.77,    5.43,   -3.70
    1.08,    0.21,   89.24,   87.39,   93.89,    5.53,   -3.79
    1.09,    0.22,   89.21,   87.32,   94.01,    5.64,   -3.88
    1.10,    0.24,   89.18,   87.26,   94.13,    5.75,   -3.97
    1.11,    0.25,   89.15,   87.19,   94.25,    5.85,   -4.06
    1.12,    0.27,   89.13,   87.12,   94.38,    5.96,   -4.15
    1.13,    0.28,   89.10,   87.05,   94.51,    6.06,   -4.24
    1.14,    0.30,   89.07,   86.98,   94.64,    6.17,   -4.33
    1.15,    0.32,   89.04,   86.91,   94.77,    6.27,   -4.43
    1.16,    0.33,   89.01,   86.84,   94.91,    6.37,   -4.52
    1.17,    0.35,   88.98,   86.77,   95.05,    6.48,   -4.61
    1.18,    0.37,   88.95,   86.70,   95.19,    6.58,   -4.70
    1.19,    0.38,   88.92,   86.62,   95.33,    6.68,   -4.79
    1.20,    0.40,   88.89,   86.55,   95.48,    6.78,   -4.89
    1.21,    0.42,   88.86,   86.47,   95.62,    6.88,   -4.98
    1.22,    0.43,   88.82,   86.39,   95.77,    6.98,   -5.07
    1.23,    0.45,   88.79,   86.32,   95.93,    7.08,   -5.16
    1.24,    0.47,   88.76,   86.24,   96.08,    7.18,   -5.25
    1.25,    0.49,   88.73,   86.16,   96.24,    7.28,   -5.34
    1.26,    0.51,   88.69,   86.07,   96.40,    7.37,   -5.43
    1.27,    0.52,   88.66,   85.99,   96.56,    7.47,   -5.51
    1.29,    0.56,   88.59,   85.83,   96.89,    7.65,   -5.69
    1.30,    0.58,   88.56,   85.74,   97.06,    7.75,   -5.77
    1.31,    0.60,   88.52,   85.65,   97.23,    7.84,   -5.86
    1.32,    0.62,   88.49,   85.57,   97.40,    7.92,   -5.94
    1.34,    0.66,   88.42,   85.39,   97.75,    8.10,   -6.10
    1.35,    0.68,   88.38,   85.30,   97.93,    8.18,   -6.18
    1.36,    0.70,   88.35,   85.20,   98.12,    8.27,   -6.26
    1.37,    0.71,   88.31,   85.11,   98.30,    8.35,   -6.34
    1.38,    0.73,   88.28,   85.02,   98.49,    8.43,   -6.42
    1.39,    0.75,   88.24,   84.92,   98.68,    8.51,   -6.49
    1.40,    0.77,   88.21,   84.83,   98.87,    8.58,   -6.56
    1.41,    0.79,   88.17,   84.73,   99.06,    8.66,   -6.63
    1.42,    0.81,   88.14,   84.63,   99.25,    8.73,   -6.70
    1.43,    0.83,   88.10,   84.53,   99.45,    8.80,   -6.77
    1.44,    0.85,   88.06,   84.43,   99.65,    8.87,   -6.83
    1.45,    0.87,   88.03,   84.33,   99.85,    8.94,   -6.90
    1.46,    0.89,   88.00,   84.22,  100.06,    9.01,   -6.96
    1.48,    0.93,   87.93,   84.01,  100.47,    9.14,   -7.07
    1.49,    0.95,   87.89,   83.90,  100.68,    9.20,   -7.13
    1.50,    0.97,   87.86,   83.79,  100.89,    9.26,   -7.18
    1.51,    0.99,   87.82,   83.68,  101.11,    9.31,   -7.23
    1.52,    1.01,   87.79,   83.57,  101.32,    9.37,   -7.28
    1.53,    1.03,   87.76,   83.46,  101.54,    9.42,   -7.32
    1.54,    1.05,   87.73,   83.35,  101.76,    9.47,   -7.37
    1.55,    1.07,   87.69,   83.23,  101.98,    9.52,   -7.41
    1.56,    1.09,   87.66,   83.11,  102.20,    9.57,   -7.44
    1.57,    1.10,   87.63,   83.00,  102.43,    9.62,   -7.48
    1.58,    1.12,   87.60,   82.88,  102.66,    9.66,   -7.51
    1.59,    1.14,   87.57,   82.76,  102.88,    9.70,   -7.54
    1.60,    1.16,   87.54,   82.63,  103.11,    9.74,   -7.57
    1.62,    1.20,   87.48,   82.39,  103.58,    9.82,   -7.61
    1.63,    1.22,   87.45,   82.26,  103.82,    9.85,   -7.63
    1.64,    1.24,   87.42,   82.13,  104.05,    9.88,   -7.64
    1.65,    1.26,   87.40,   82.00,  104.29,    9.91,   -7.66
    1.66,    1.27,   87.37,   81.87,  104.53,    9.94,   -7.66
    1.67,    1.29,   87.35,   81.74,  104.77,    9.97,   -7.67
    1.68,    1.31,   87.32,   81.61,  105.02,    9.99,   -7.67
    1.69,    1.33,   87.30,   81.47,  105.26,   10.02,   -7.67
    1.70,    1.35,   87.27,   81.33,  105.51,   10.04,   -7.67
    1.71,    1.37,   87.25,   81.20,  105.75,   10.06,   -7.66
    1.73,    1.40,   87.21,   80.92,  106.25,   10.09,   -7.64
    1.74,    1.42,   87.19,   80.77,  106.50,   10.10,   -7.62
    1.76,    1.46,   87.15,   80.48,  107.01,   10.13,   -7.58
    1.77,    1.47,   87.13,   80.34,  107.26,   10.14,   -7.55
    1.78,    1.49,   87.12,   80.19,  107.52,   10.14,   -7.52
    1.79,    1.51,   87.10,   80.04,  107.77,   10.15,   -7.48
    1.81,    1.55,   87.07,   79.73,  108.29,   10.15,   -7.41
    1.82,    1.57,   87.06,   79.58,  108.55,   10.16,   -7.36
    1.83,    1.58,   87.05,   79.42,  108.81,   10.16,   -7.32
    1.84,    1.60,   87.04,   79.26,  109.07,   10.15,   -7.27
    1.85,    1.62,   87.03,   79.11,  109.33,   10.15,   -7.21
    1.86,    1.64,   87.02,   78.94,  109.59,   10.15,   -7.15
    1.87,    1.66,   87.02,   78.78,  109.86,   10.14,   -7.09
    1.89,    1.69,   87.01,   78.45,  110.39,   10.13,   -6.96
    1.90,    1.71,   87.00,   78.29,  110.65,   10.12,   -6.89
    1.91,    1.73,   87.00,   78.12,  110.92,   10.11,   -6.82
    1.92,    1.75,   87.00,   77.95,  111.18,   10.10,   -6.74
    1.93,    1.77,   87.00,   77.78,  111.45,   10.08,   -6.66
    1.94,    1.79,   87.00,   77.60,  111.72,   10.07,   -6.58
    1.95,    1.81,   87.00,   77.43,  111.98,   10.06,   -6.50
    1.97,    1.85,   87.01,   77.08,  112.52,   10.03,   -6.32
    1.98,    1.87,   87.01,   76.90,  112.79,   10.01,   -6.22
    1.99,    1.89,   87.02,   76.72,  113.06,    9.99,   -6.12
    2.00,    1.91,   87.03,   76.54,  113.32,    9.98,   -6.02
    2.01,    1.93,   87.04,   76.35,  113.59,    9.96,   -5.92
    2.02,    1.95,   87.05,   76.17,  113.86,    9.94,   -5.81
    2.03,    1.98,   87.06,   75.98,  114.13,    9.92,   -5.70
    2.05,    2.02,   87.09,   75.61,  114.67,    9.88,   -5.48
    2.06,    2.04,   87.10,   75.42,  114.93,    9.86,   -5.36
    2.07,    2.07,   87.12,   75.23,  115.20,    9.85,   -5.24
    2.08,    2.09,   87.14,   75.03,  115.47,    9.83,   -5.12
    2.09,    2.11,   87.15,   74.84,  115.74,    9.81,   -5.00
    2.10,    2.14,   87.17,   74.65,  116.00,    9.79,   -4.87
    2.11,    2.16,   87.20,   74.45,  116.27,    9.77,   -4.75
    2.12,    2.19,   87.22,   74.25,  116.54,    9.75,   -4.62
    2.13,    2.22,   87.24,   74.05,  116.80,    9.73,   -4.49
    2.14,    2.24,   87.26,   73.85,  117.07,    9.71,   -4.35
    2.15,    2.27,   87.29,   73.65,  117.33,    9.69,   -4.22
    2.16,    2.30,   87.32,   73.45,  117.60,    9.68,   -4.08
    2.18,    2.35,   87.37,   73.04,  118.12,    9.64,   -3.80
    2.19,    2.38,   87.40,   72.84,  118.39,    9.63,   -3.66
    2.20,    2.41,   87.43,   72.63,  118.65,    9.61,   -3.52
    2.21,    2.44,   87.46,   72.43,  118.91,    9.60,   -3.37
    2.22,    2.48,   87.50,   72.22,  119.17,    9.58,   -3.23
    2.23,    2.51,   87.53,   72.01,  119.43,    9.57,   -3.08
    2.25,    2.58,   87.60,   71.59,  119.94,    9.55,   -2.78
    2.26,    2.61,   87.63,   71.38,  120.20,    9.54,   -2.64
    2.27,    2.64,   87.67,   71.17,  120.45,    9.53,   -2.49
    2.28,    2.68,   87.71,   70.95,  120.71,    9.52,   -2.34
    2.29,    2.72,   87.74,   70.74,  120.96,    9.51,   -2.19
    2.30,    2.76,   87.78,   70.53,  121.21,    9.51,   -2.03
    2.31,    2.79,   87.82,   70.31,  121.47,    9.50,   -1.88
    2.32,    2.83,   87.86,   70.10,  121.71,    9.50,   -1.73
    2.33,    2.87,   87.90,   69.88,  121.96,    9.50,   -1.58
    2.34,    2.91,   87.94,   69.66,  122.21,    9.50,   -1.43
    2.35,    2.96,   87.98,   69.45,  122.46,    9.50,   -1.28
    2.37,    3.04,   88.07,   69.01,  122.94,    9.50,   -0.98
    2.38,    3.09,   88.11,   68.79,  123.19,    9.51,   -0.83
    2.39,    3.13,   88.16,   68.57,  123.43,    9.52,   -0.68
    2.40,    3.18,   88.20,   68.36,  123.67,    9.53,   -0.53
    2.41,    3.23,   88.24,   68.14,  123.90,    9.54,   -0.39
    2.42,    3.27,   88.29,   67.92,  124.14,    9.55,   -0.24
    2.43,    3.32,   88.33,   67.70,  124.38,    9.56,   -0.10
    2.44,    3.37,   88.38,   67.48,  124.61,    9.58,    0.05
    2.45,    3.42,   88.42,   67.26,  124.84,    9.59,    0.19
    2.46,    3.48,   88.46,   67.04,  125.07,    9.61,    0.33
    2.47,    3.53,   88.51,   66.82,  125.30,    9.63,    0.47
    2.48,    3.58,   88.55,   66.60,  125.53,    9.66,    0.61
    2.49,    3.64,   88.60,   66.39,  125.75,    9.68,    0.74
    2.50,    3.69,   88.64,   66.17,  125.98,    9.71,    0.87
    2.52,    3.81,   88.73,   65.73,  126.42,    9.76,    1.14
    2.53,    3.87,   88.77,   65.51,  126.64,    9.80,    1.26
    2.54,    3.93,   88.82,   65.30,  126.85,    9.83,    1.39
    2.55,    3.99,   88.86,   65.08,  127.07,    9.86,    1.51
    2.57,    4.11,   88.95,   64.65,  127.49,    9.94,    1.75
    2.58,    4.18,   88.99,   64.43,  127.70,    9.98,    1.86
    2.59,    4.24,   89.03,   64.22,  127.91,   10.02,    1.97
    2.60,    4.31,   89.07,   64.01,  128.12,   10.07,    2.08
    2.61,    4.37,   89.11,   63.79,  128.32,   10.11,    2.19
    2.62,    4.44,   89.15,   63.58,  128.53,   10.16,    2.29
    2.63,    4.51,   89.19,   63.37,  128.73,   10.21,    2.39
    2.64,    4.58,   89.22,   63.16,  128.93,   10.26,    2.49
    2.65,    4.65,   89.26,   62.95,  129.12,   10.32,    2.58
    2.66,    4.72,   89.30,   62.74,  129.32,   10.37,    2.67
    2.67,    4.79,   89.33,   62.53,  129.51,   10.43,    2.76
    2.68,    4.86,   89.37,   62.33,  129.70,   10.49,    2.84
    2.69,    4.94,   89.40,   62.12,  129.89,   10.55,    2.92
    2.70,    5.01,   89.43,   61.92,  130.08,   10.61,    2.99
    2.71,    5.09,   89.46,   61.72,  130.27,   10.67,    3.07
    2.72,    5.16,   89.49,   61.51,  130.45,   10.74,    3.13
    2.73,    5.24,   89.52,   61.31,  130.63,   10.81,    3.20
    2.74,    5.32,   89.55,   61.11,  130.81,   10.87,    3.26
    2.75,    5.40,   89.57,   60.92,  130.99,   10.94,    3.31
    2.76,    5.47,   89.60,   60.72,  131.17,   11.01,    3.36
    2.77,    5.55,   89.62,   60.53,  131.34,   11.09,    3.41
    2.78,    5.63,   89.64,   60.33,  131.52,   11.16,    3.45
    2.79,    5.71,   89.66,   60.14,  131.69,   11.24,    3.49
    2.81,    5.88,   89.70,   59.76,  132.02,   11.39,    3.56
    2.82,    5.96,   89.72,   59.58,  132.19,   11.47,    3.58
    2.83,    6.12,   89.74,   59.21,  132.51,   11.63,    3.62
    2.85,    6.21,   89.75,   59.03,  132.67,   11.71,    3.64
    2.86,    6.29,   89.76,   58.85,  132.83,   11.79,    3.64
    2.87,    6.37,   89.77,   58.67,  132.99,   11.87,    3.65
    2.88,    6.46,   89.78,   58.50,  133.14,   11.95,    3.65
    2.89,    6.54,   89.78,   58.32,  133.29,   12.04,    3.64
    2.90,    6.62,   89.78,   58.15,  133.44,   12.12,    3.63
    2.91,    6.71,   89.78,   57.98,  133.59,   12.21,    3.62
    2.92,    6.79,   89.78,   57.81,  133.74,   12.29,    3.60
    2.94,    6.96,   89.77,   57.49,  134.03,   12.46,    3.55
    2.95,    7.05,   89.76,   57.33,  134.17,   12.55,    3.52
    2.97,    7.22,   89.74,   57.01,  134.45,   12.72,    3.44
    2.98,    7.30,   89.73,   56.85,  134.59,   12.81,    3.39
    2.99,    7.39,   89.72,   56.70,  134.72,   12.90,    3.34
    3.00,    7.47,   89.70,   56.55,  134.85,   12.98,    3.29
    3.01,    7.55,   89.68,   56.40,  134.99,   13.07,    3.23
    3.02,    7.64,   89.66,   56.26,  135.12,   13.15,    3.17
    3.03,    7.72,   89.64,   56.12,  135.24,   13.24,    3.10
    3.04,    7.80,   89.61,   55.98,  135.37,   13.32,    3.03
    3.05,    7.88,   89.58,   55.84,  135.49,   13.41,    2.95
    3.06,    7.97,   89.56,   55.70,  135.62,   13.49,    2.87
    3.07,    8.05,   89.52,   55.57,  135.74,   13.57,    2.79
    3.09,    8.21,   89.46,   55.31,  135.98,   13.74,    2.61
    3.10,    8.28,   89.42,   55.18,  136.10,   13.81,    2.51
    3.11,    8.36,   89.38,   55.06,  136.21,   13.89,    2.41
    3.12,    8.44,   89.34,   54.94,  136.32,   13.97,    2.31
    3.14,    8.59,   89.25,   54.70,  136.55,   14.12,    2.09
    3.15,    8.67,   89.20,   54.59,  136.66,   14.20,    1.98
    3.16,    8.74,   89.15,   54.48,  136.77,   14.27,    1.86
    3.17,    8.81,   89.10,   54.37,  136.87,   14.34,    1.74
    3.18,    8.88,   89.05,   54.26,  136.98,   14.41,    1.62
    3.19,    8.95,   88.99,   54.16,  137.08,   14.47,    1.49
    3.20,    9.02,   88.93,   54.06,  137.18,   14.54,    1.36
    3.21,    9.09,   88.88,   53.96,  137.28,   14.60,    1.22
    3.23,    9.22,   88.75,   53.77,  137.48,   14.72,    0.95
    3.24,    9.28,   88.69,   53.68,  137.58,   14.78,    0.80
    3.25,    9.34,   88.62,   53.59,  137.67,   14.83,    0.66
    3.26,    9.40,   88.55,   53.50,  137.77,   14.89,    0.51
    3.27,    9.46,   88.48,   53.42,  137.86,   14.94,    0.36
    3.28,    9.52,   88.41,   53.34,  137.95,   14.98,    0.21
    3.29,    9.57,   88.34,   53.26,  138.04,   15.03,    0.06
    3.30,    9.62,   88.27,   53.18,  138.13,   15.07,   -0.10
    3.31,    9.67,   88.19,   53.11,  138.21,   15.11,   -0.26
    3.32,    9.72,   88.11,   53.04,  138.30,   15.15,   -0.42
    3.33,    9.77,   88.03,   52.97,  138.38,   15.18,   -0.58
    3.35,    9.86,   87.87,   52.84,  138.55,   15.24,   -0.91
    3.36,    9.90,   87.79,   52.78,  138.63,   15.27,   -1.07
    3.37,    9.94,   87.71,   52.72,  138.71,   15.29,   -1.24
    3.38,    9.98,   87.62,   52.66,  138.79,   15.31,   -1.41
    3.39,   10.01,   87.53,   52.60,  138.86,   15.33,   -1.58
    3.40,   10.05,   87.45,   52.55,  138.94,   15.34,   -1.75
    3.41,   10.08,   87.36,   52.50,  139.01,   15.35,   -1.92
    3.42,   10.11,   87.27,   52.45,  139.09,   15.36,   -2.09
    3.43,   10.13,   87.18,   52.41,  139.16,   15.36,   -2.26
    3.44,   10.15,   87.09,   52.37,  139.23,   15.36,   -2.43
    3.45,   10.18,   86.99,   52.32,  139.30,   15.36,   -2.61
    3.47,   10.21,   86.81,   52.25,  139.43,   15.35,   -2.95
    3.48,   10.23,   86.71,   52.21,  139.50,   15.33,   -3.12
    3.49,   10.24,   86.62,   52.18,  139.56,   15.31,   -3.29
    3.50,   10.25,   86.52,   52.15,  139.63,   15.29,   -3.46
    3.51,   10.25,   86.43,   52.12,  139.69,   15.27,   -3.63
    3.52,   10.26,   86.33,   52.10,  139.75,   15.24,   -3.80
    3.53,   10.26,   86.24,   52.07,  139.81,   15.21,   -3.97
    3.54,   10.26,   86.14,   52.05,  139.87,   15.18,   -4.14
    3.55,   10.25,   86.04,   52.03,  139.92,   15.14,   -4.30
    3.56,   10.24,   85.95,   52.01,  139.98,   15.10,   -4.47
    3.58,   10.22,   85.75,   51.98,  140.09,   15.00,   -4.79
    3.59,   10.21,   85.66,   51.97,  140.14,   14.95,   -4.95
    3.60,   10.19,   85.56,   51.96,  140.19,   14.89,   -5.11
    3.61,   10.17,   85.46,   51.95,  140.24,   14.83,   -5.26
    3.62,   10.15,   85.37,   51.94,  140.28,   14.76,   -5.42
    3.63,   10.12,   85.27,   51.93,  140.33,   14.70,   -5.57
    3.65,   10.06,   85.08,   51.93,  140.42,   14.55,   -5.86
    3.67,    9.99,   84.90,   51.93,  140.50,   14.39,   -6.15
    3.68,    9.95,   84.80,   51.93,  140.54,   14.30,   -6.28
    3.70,    9.86,   84.62,   51.94,  140.61,   14.12,   -6.55
    3.72,    9.76,   84.45,   51.95,  140.68,   13.92,   -6.80
    3.73,    9.71,   84.36,   51.96,  140.71,   13.82,   -6.93
    3.75,    9.59,   84.19,   51.99,  140.77,   13.60,   -7.16
    3.76,    9.53,   84.11,   52.00,  140.79,   13.48,   -7.27
    3.77,    9.46,   84.02,   52.01,  140.82,   13.37,   -7.38
    3.78,    9.40,   83.94,   52.03,  140.84,   13.25,   -7.48
    3.79,    9.33,   83.87,   52.05,  140.86,   13.12,   -7.58
    3.80,    9.25,   83.79,   52.07,  140.88,   13.00,   -7.68
    3.81,    9.18,   83.71,   52.09,  140.90,   12.87,   -7.77
    3.82,    9.10,   83.64,   52.11,  140.92,   12.73,   -7.85
    3.83,    9.02,   83.57,   52.13,  140.93,   12.60,   -7.94
    3.84,    8.94,   83.50,   52.15,  140.95,   12.46,   -8.01
    3.85,    8.85,   83.43,   52.18,  140.96,   12.32,   -8.09
    3.86,    8.76,   83.36,   52.20,  140.97,   12.17,   -8.16
    3.88,    8.58,   83.24,   52.25,  140.98,   11.87,   -8.28
    3.89,    8.48,   83.18,   52.28,  140.98,   11.72,   -8.33
    3.90,    8.38,   83.12,   52.31,  140.98,   11.57,   -8.38
    3.91,    8.28,   83.07,   52.34,  140.98,   11.41,   -8.43
    3.92,    8.18,   83.02,   52.37,  140.98,   11.25,   -8.47
    3.93,    8.08,   82.97,   52.40,  140.97,   11.09,   -8.51
    3.94,    7.97,   82.92,   52.44,  140.97,   10.92,   -8.54
    3.95,    7.86,   82.87,   52.47,  140.96,   10.76,   -8.56
